index,dose,year,fold
101,1pM,2014,train
102,1pM,2014,train
103,1pM,2014,train
104,1pM,2014,train
105,1pM,2014,train
106,1pM,2014,train
107,1pM,2014,train
108,1pM,2014,train
109,1pM,2014,train
110,1pM,2014,train
111,1pM,2014,train
112,1pM,2014,train
113,1pM,2014,test
114,1pM,2014,train
115,1pM,2014,train
116,1pM,2014,validate
117,1pM,2014,train
118,1pM,2014,train
119,1pM,2014,train
120,1pM,2014,train
121,1pM,2014,train
122,1pM,2014,test
123,1pM,2014,train
124,1pM,2014,train
125,1pM,2014,validate
126,1pM,2014,test
127,1pM,2014,validate
128,1pM,2014,train
129,1pM,2014,train
130,1pM,2014,train
131,1pM,2014,train
132,1pM,2014,train
133,1pM,2014,train
134,1pM,2014,validate
135,1pM,2014,train
136,1pM,2014,train
137,1pM,2014,train
138,1pM,2014,test
139,1pM,2014,test
140,1pM,2014,test
141,1pM,2014,train
142,1pM,2014,train
143,1pM,2014,train
144,1pM,2014,train
145,1pM,2014,train
146,1pM,2014,train
147,1pM,2014,train
148,1pM,2014,train
149,1pM,2014,validate
150,1pM,2014,validate
151,1pM,2014,train
152,1pM,2014,train
153,1pM,2014,train
154,1pM,2014,test
155,1pM,2014,train
156,1pM,2014,train
157,1pM,2014,train
158,1pM,2014,train
159,1pM,2014,validate
160,1pM,2014,train
161,1pM,2014,train
162,1pM,2014,train
163,1pM,2014,train
164,1pM,2014,train
165,1pM,2014,train
166,1pM,2014,validate
167,1pM,2014,validate
168,1pM,2014,train
169,1pM,2014,validate
170,1pM,2014,train
171,1pM,2014,validate
172,1pM,2014,train
173,1pM,2014,train
174,1pM,2014,test
175,1pM,2014,train
176,1pM,2014,train
177,1pM,2014,train
178,1pM,2014,train
179,1pM,2014,train
180,1pM,2014,test
181,1pM,2014,train
182,1pM,2014,train
183,1pM,2014,train
184,1pM,2014,test
185,1pM,2014,train
186,1pM,2014,train
187,1pM,2014,train
188,1pM,2014,test
189,1pM,2014,test
190,1pM,2014,test
191,1pM,2014,train
192,1pM,2014,train
193,1pM,2014,train
194,1pM,2014,train
195,1pM,2014,train
196,1pM,2014,validate
197,1pM,2014,train
198,1pM,2014,train
199,1pM,2014,train
200,1pM,2014,test
201,1pM,2014,train
202,1pM,2014,train
203,1pM,2014,train
204,1pM,2014,train
205,1pM,2014,train
206,1pM,2014,test
207,1pM,2014,train
208,1pM,2014,train
209,1pM,2014,train
210,1pM,2014,train
211,1pM,2014,validate
212,1pM,2014,train
213,1pM,2014,train
214,1pM,2014,train
215,1pM,2014,test
216,1pM,2014,train
217,1pM,2014,train
218,1pM,2014,train
219,1pM,2014,train
220,1pM,2014,train
221,1pM,2014,train
222,1pM,2014,train
223,1pM,2014,train
224,1pM,2014,test
225,1pM,2014,train
226,1pM,2014,train
227,1pM,2014,train
228,1pM,2014,train
229,1pM,2014,train
230,1pM,2014,test
231,1pM,2014,train
232,1pM,2014,train
233,1pM,2014,train
234,1pM,2014,train
235,1pM,2014,train
236,1pM,2014,train
237,1pM,2014,validate
238,1pM,2014,train
239,1pM,2014,test
240,1pM,2014,train
241,1pM,2014,train
242,1pM,2014,train
243,1pM,2014,train
244,1pM,2014,train
245,1pM,2014,train
246,1pM,2014,train
247,1pM,2014,train
248,1pM,2014,validate
249,1pM,2014,train
250,1pM,2014,train
251,1pM,2014,train
252,1pM,2014,train
253,1pM,2014,train
254,1pM,2014,validate
255,1pM,2014,train
256,1pM,2014,train
257,1pM,2014,train
258,1pM,2014,train
259,1pM,2014,train
260,1pM,2014,train
261,1pM,2014,train
262,1pM,2014,train
263,1pM,2014,train
264,1pM,2014,train
265,1pM,2014,train
266,1pM,2014,train
267,1pM,2014,train
268,1pM,2014,train
269,1pM,2014,validate
270,1pM,2014,train
271,1pM,2014,train
272,1pM,2014,train
273,1pM,2014,train
274,1pM,2014,train
275,1pM,2014,train
276,1pM,2014,test
277,1pM,2014,train
278,1pM,2014,train
279,1pM,2014,train
280,1pM,2014,train
281,1pM,2014,test
282,1pM,2014,validate
283,1pM,2014,train
284,1pM,2014,train
285,1pM,2014,train
286,1pM,2014,test
287,1pM,2014,train
288,1pM,2014,train
289,1pM,2014,train
290,1pM,2014,train
291,1pM,2014,train
292,1pM,2014,train
293,1pM,2014,train
294,1pM,2014,train
295,1pM,2014,test
296,1pM,2014,train
297,1pM,2014,train
298,1pM,2014,train
299,1pM,2014,train
300,1pM,2014,validate
301,1pM,2014,train
302,1pM,2014,train
303,1pM,2014,train
304,1pM,2014,train
305,1pM,2014,train
306,1pM,2014,train
307,1pM,2014,train
308,1pM,2014,train
309,1pM,2014,train
310,1pM,2014,train
311,1pM,2014,train
312,1pM,2014,train
313,1pM,2014,test
314,1pM,2014,train
315,1pM,2014,train
316,1pM,2014,train
317,1pM,2014,train
318,1pM,2014,test
319,1pM,2014,validate
320,1pM,2014,train
321,1pM,2014,train
322,1pM,2014,train
323,1pM,2014,train
324,1pM,2014,validate
325,1pM,2014,test
326,1pM,2014,train
327,1pM,2014,train
328,1pM,2014,train
329,1pM,2014,test
330,1pM,2014,train
331,1pM,2014,validate
332,1pM,2014,train
333,1pM,2014,train
334,1pM,2014,train
335,1pM,2014,train
336,1pM,2014,train
337,1pM,2014,train
338,1pM,2014,validate
339,1pM,2014,train
340,1pM,2014,train
341,1pM,2014,test
342,1pM,2014,test
343,1pM,2014,train
344,1pM,2014,train
345,1pM,2014,train
346,1pM,2014,train
347,1pM,2014,train
348,1pM,2014,train
349,1pM,2014,train
350,1pM,2014,train
351,1pM,2014,train
352,1pM,2014,train
353,1pM,2014,train
354,1pM,2014,train
355,1pM,2014,train
356,1pM,2014,train
357,1pM,2014,train
358,1pM,2014,train
359,1pM,2014,train
360,1pM,2014,train
361,1pM,2014,validate
362,1pM,2014,train
363,1pM,2014,train
364,1pM,2014,train
365,1pM,2014,train
366,1pM,2014,train
367,1pM,2014,train
368,1pM,2014,train
369,1pM,2014,test
370,1pM,2014,train
371,1pM,2014,train
372,1pM,2014,train
373,1pM,2014,train
374,1pM,2014,train
375,1pM,2014,train
376,1pM,2014,train
377,1pM,2014,train
378,1pM,2014,train
379,1pM,2014,train
380,1pM,2014,train
381,1pM,2014,train
382,1pM,2014,train
383,1pM,2014,train
384,1pM,2014,train
385,1pM,2014,train
386,1pM,2014,train
387,1pM,2014,train
388,1pM,2014,train
389,1pM,2014,train
390,1pM,2014,validate
391,1pM,2014,train
392,1pM,2014,test
393,1pM,2014,train
394,1pM,2014,train
395,1pM,2014,train
396,1pM,2014,train
397,1pM,2014,train
398,1pM,2014,train
399,1pM,2014,train
400,1pM,2014,train
401,1pM,2014,train
402,1pM,2014,train
403,1pM,2014,validate
404,1pM,2014,validate
405,1pM,2014,train
406,1pM,2014,train
407,1pM,2014,train
408,1pM,2014,train
409,1pM,2014,validate
410,1pM,2014,train
411,1pM,2014,validate
412,1pM,2014,train
413,1pM,2014,train
414,1pM,2014,train
415,1pM,2014,train
416,1pM,2014,train
417,1pM,2014,train
418,1pM,2014,train
419,0pM,2013,validate
420,0pM,2013,train
421,0pM,2013,validate
422,0pM,2013,test
423,0pM,2013,train
424,0pM,2013,train
425,0pM,2013,train
426,0pM,2013,train
427,0pM,2013,validate
428,0pM,2013,train
429,0pM,2013,train
430,0pM,2013,train
431,0pM,2013,train
432,0pM,2013,train
433,0pM,2013,train
434,0pM,2013,train
435,0pM,2013,train
436,0pM,2013,train
437,0pM,2013,train
438,0pM,2013,test
439,0pM,2013,train
440,0pM,2013,train
441,0pM,2013,train
442,0pM,2013,train
443,0pM,2013,test
444,0pM,2013,train
445,0pM,2013,test
446,0pM,2013,train
447,0pM,2013,train
448,0pM,2013,train
449,0pM,2013,train
450,0pM,2013,train
451,0pM,2013,train
452,0pM,2013,test
453,0pM,2013,train
454,0pM,2013,train
455,0pM,2013,train
456,0pM,2013,train
457,0pM,2013,train
458,0pM,2013,train
459,0pM,2013,train
460,0pM,2013,train
461,0pM,2013,train
462,0pM,2013,train
463,0pM,2013,train
464,0pM,2013,validate
465,0pM,2013,validate
466,0pM,2013,train
467,0pM,2013,train
468,0pM,2013,train
469,0pM,2013,validate
470,0pM,2013,validate
471,0pM,2013,train
472,0pM,2013,validate
473,0pM,2013,train
474,0pM,2013,train
475,0pM,2013,validate
476,0pM,2013,train
477,0pM,2013,validate
478,0pM,2013,train
479,0pM,2013,train
480,0pM,2013,test
481,0pM,2013,train
482,0pM,2013,train
483,0pM,2013,validate
484,0pM,2013,train
485,0pM,2013,train
486,0pM,2013,train
487,0pM,2013,train
488,0pM,2013,train
489,0pM,2013,train
490,0pM,2013,train
491,0pM,2013,train
492,0pM,2013,train
493,0pM,2013,train
494,0pM,2013,train
495,0pM,2013,train
496,0pM,2013,test
497,0pM,2013,train
498,0pM,2013,train
499,0pM,2013,test
500,0pM,2013,train
501,0pM,2013,train
502,0pM,2013,train
503,0pM,2013,train
504,0pM,2013,train
505,0pM,2013,train
506,0pM,2013,train
507,0pM,2013,train
508,0pM,2013,train
509,0pM,2013,train
510,0pM,2013,train
511,0pM,2013,train
512,0pM,2013,train
513,0pM,2013,train
514,0pM,2013,train
515,0pM,2013,validate
516,0pM,2013,train
517,0pM,2013,train
518,0pM,2013,train
519,0pM,2013,test
520,0pM,2013,train
521,0pM,2013,train
522,0pM,2013,train
523,0pM,2013,train
524,0pM,2013,train
525,0pM,2013,train
526,0pM,2013,validate
527,0pM,2013,train
528,0pM,2013,train
529,0pM,2013,train
530,0pM,2013,train
531,0pM,2013,train
532,0pM,2013,train
533,0pM,2013,train
534,0pM,2013,validate
535,0pM,2013,train
536,0pM,2013,train
537,0pM,2013,test
538,0pM,2013,validate
539,0pM,2013,train
540,0pM,2013,train
541,0pM,2013,train
542,0pM,2013,train
543,0pM,2013,train
544,0pM,2013,train
545,0pM,2013,train
546,0pM,2013,validate
547,0pM,2013,train
548,0pM,2013,train
549,0pM,2013,train
550,0pM,2013,test
551,0pM,2013,train
552,0pM,2013,train
553,0pM,2013,test
554,0pM,2013,train
555,0pM,2013,train
556,0pM,2013,train
557,0pM,2013,train
558,0pM,2013,train
559,0pM,2013,train
560,0pM,2013,train
561,0pM,2013,train
562,0pM,2013,train
563,0pM,2013,validate
564,0pM,2013,train
565,0pM,2013,train
566,0pM,2013,validate
567,0pM,2013,validate
568,0pM,2013,train
569,0pM,2013,train
570,0pM,2013,train
571,0pM,2013,train
572,0pM,2013,train
573,0pM,2013,train
574,0pM,2013,train
575,0pM,2013,train
576,0pM,2013,train
577,0pM,2013,train
578,0pM,2013,train
579,0pM,2013,train
580,0pM,2013,train
581,0pM,2013,train
582,0pM,2013,train
583,0pM,2013,validate
584,0pM,2013,test
585,0pM,2013,train
586,0pM,2013,train
587,0pM,2013,train
588,0pM,2013,train
589,0pM,2013,train
590,0pM,2013,test
591,0pM,2013,train
592,0pM,2013,train
593,0pM,2013,train
594,0pM,2013,train
595,0pM,2013,train
596,0pM,2013,train
597,0pM,2013,validate
598,0pM,2013,train
599,0pM,2013,validate
600,0pM,2013,train
601,0pM,2013,train
602,0pM,2013,test
603,0pM,2013,train
604,0pM,2013,validate
605,0pM,2013,train
606,0pM,2013,train
607,0pM,2013,train
608,0pM,2013,train
609,0pM,2013,train
610,0pM,2013,train
611,0pM,2013,test
612,0pM,2013,train
613,0pM,2013,train
614,0pM,2013,train
615,0pM,2013,train
616,0pM,2013,train
617,0pM,2013,train
618,0pM,2013,train
619,0pM,2013,train
620,0pM,2013,train
621,0pM,2013,test
622,0pM,2013,test
623,0pM,2013,train
624,0pM,2013,train
625,0pM,2013,train
626,0pM,2013,test
627,0pM,2013,train
628,0pM,2013,train
629,0pM,2013,train
630,0pM,2013,train
631,0pM,2013,train
632,0pM,2013,train
633,0pM,2013,train
634,0pM,2013,train
635,0pM,2013,train
636,0pM,2013,validate
637,0pM,2013,train
638,0pM,2013,train
639,0pM,2013,train
640,0pM,2013,train
641,0pM,2013,test
642,0pM,2013,train
643,0pM,2013,train
644,0pM,2013,train
645,0pM,2013,train
646,0pM,2013,train
647,0pM,2013,validate
648,0pM,2013,train
649,0pM,2013,train
650,0pM,2013,train
651,0pM,2013,train
652,0pM,2013,test
653,0pM,2013,train
654,0pM,2013,train
655,0pM,2013,train
656,0pM,2013,train
657,0pM,2013,train
658,0pM,2013,train
659,0pM,2013,train
660,0pM,2013,train
661,0pM,2013,train
662,0pM,2013,train
663,0pM,2013,train
664,0pM,2013,train
665,0pM,2013,train
666,0pM,2013,train
667,0pM,2013,train
668,0pM,2013,validate
669,0pM,2013,test
670,0pM,2013,test
671,0pM,2013,validate
672,0pM,2013,train
673,0pM,2013,train
674,0pM,2013,train
675,0pM,2013,train
676,0pM,2013,train
677,0pM,2013,train
678,0pM,2013,validate
679,0pM,2013,train
680,0pM,2013,test
681,0pM,2013,train
682,0pM,2013,train
683,0pM,2013,train
684,0pM,2013,train
685,0pM,2013,test
686,0pM,2013,train
687,0pM,2013,train
688,0pM,2013,validate
689,0pM,2013,train
690,0pM,2013,train
691,0pM,2013,train
692,0pM,2013,train
693,0pM,2013,validate
694,0pM,2013,train
695,0pM,2013,validate
696,0pM,2013,train
697,0pM,2013,train
698,0pM,2013,train
699,0pM,2013,test
700,0pM,2013,train
701,0pM,2013,train
702,0pM,2013,validate
703,0pM,2013,train
704,0pM,2013,test
705,0pM,2013,train
706,0pM,2013,train
707,0pM,2013,train
708,0pM,2013,train
709,0pM,2013,train
710,0pM,2013,validate
711,0pM,2013,train
712,0pM,2013,train
713,0pM,2013,test
714,0pM,2013,train
715,0pM,2013,train
716,0pM,2013,train
717,0pM,2013,train
718,0pM,2013,train
719,0pM,2013,train
720,0pM,2013,test
721,0pM,2013,train
722,0pM,2013,train
723,0pM,2013,train
724,0pM,2013,train
725,0pM,2013,test
726,0pM,2013,train
727,0pM,2013,test
728,0pM,2013,train
729,0pM,2013,train
730,0pM,2013,train
731,0pM,2013,train
732,0pM,2013,train
733,0pM,2013,train
734,0pM,2013,test
735,0pM,2013,train
736,0pM,2013,validate
737,0pM,2013,train
738,0pM,2013,train
739,0pM,2013,train
740,0pM,2013,train
741,0pM,2013,train
742,0pM,2013,train
743,0pM,2013,test
744,0pM,2013,train
745,0pM,2013,train
746,0pM,2013,test
747,0pM,2013,train
748,0pM,2013,validate
749,0pM,2013,test
750,0pM,2013,train
751,0pM,2013,train
752,0pM,2013,train
753,0pM,2013,train
754,0pM,2013,train
755,0pM,2013,train
756,0pM,2013,train
757,0pM,2013,train
758,0pM,2013,train
759,0pM,2013,train
760,0pM,2013,train
761,0pM,2013,test
762,0pM,2013,train
763,0pM,2013,train
764,0pM,2013,train
765,0pM,2013,train
766,0pM,2013,train
767,0pM,2013,train
768,0pM,2013,train
769,0pM,2013,train
770,0pM,2013,train
771,0pM,2013,train
772,0pM,2013,train
773,0pM,2013,train
774,0pM,2013,train
775,0pM,2013,validate
776,0pM,2013,train
777,100pM,2013,train
778,100pM,2013,train
779,100pM,2013,train
780,100pM,2013,train
781,100pM,2013,train
782,100pM,2013,train
783,100pM,2013,train
784,100pM,2013,validate
785,100pM,2013,train
786,100pM,2013,train
787,100pM,2013,train
788,100pM,2013,validate
789,100pM,2013,test
790,100pM,2013,train
791,100pM,2013,train
792,100pM,2013,train
793,100pM,2013,train
794,100pM,2013,train
795,100pM,2013,train
796,100pM,2013,train
797,100pM,2013,train
798,100pM,2013,train
799,100pM,2013,train
800,100pM,2013,train
801,100pM,2013,validate
802,100pM,2013,test
803,100pM,2013,train
804,100pM,2013,test
805,100pM,2013,test
806,100pM,2013,validate
807,100pM,2013,test
808,100pM,2013,train
809,100pM,2013,train
810,100pM,2013,train
811,100pM,2013,validate
812,100pM,2013,train
813,100pM,2013,train
814,100pM,2013,train
815,100pM,2013,train
816,100pM,2013,validate
817,100pM,2013,train
818,100pM,2013,train
819,100pM,2013,train
820,100pM,2013,train
821,100pM,2013,train
822,100pM,2013,train
823,100pM,2013,train
824,100pM,2013,train
825,100pM,2013,train
826,100pM,2013,train
827,100pM,2013,train
828,100pM,2013,validate
829,100pM,2013,validate
830,100pM,2013,train
831,100pM,2013,train
832,100pM,2013,validate
833,100pM,2013,train
834,100pM,2013,train
835,100pM,2013,train
836,100pM,2013,train
837,100pM,2013,train
838,100pM,2013,validate
839,100pM,2013,train
840,100pM,2013,train
841,100pM,2013,train
842,100pM,2013,train
843,100pM,2013,train
844,100pM,2013,train
845,100pM,2013,train
846,100pM,2013,validate
847,100pM,2013,train
848,100pM,2013,validate
849,100pM,2013,train
850,100pM,2013,train
851,100pM,2013,train
852,100pM,2013,validate
853,100pM,2013,train
854,100pM,2013,train
855,100pM,2013,train
856,100pM,2013,train
857,100pM,2013,train
858,100pM,2013,train
859,100pM,2013,train
860,100pM,2013,test
861,100pM,2013,train
862,100pM,2013,train
863,100pM,2013,train
864,100pM,2013,test
865,100pM,2013,train
866,100pM,2013,train
867,100pM,2013,train
868,100pM,2013,test
869,100pM,2013,test
870,100pM,2013,train
871,100pM,2013,train
872,100pM,2013,train
873,100pM,2013,test
874,100pM,2013,train
875,100pM,2013,train
876,100pM,2013,train
877,100pM,2013,test
878,100pM,2013,train
879,100pM,2013,test
880,100pM,2013,train
881,100pM,2013,train
882,100pM,2013,train
883,100pM,2013,train
884,100pM,2013,train
885,100pM,2013,train
886,100pM,2013,train
887,100pM,2013,train
888,100pM,2013,validate
889,100pM,2013,train
890,100pM,2013,train
891,100pM,2013,validate
892,100pM,2013,train
893,100pM,2013,test
894,100pM,2013,test
895,100pM,2013,train
896,100pM,2013,train
897,100pM,2013,validate
898,100pM,2013,train
899,100pM,2013,validate
900,100pM,2013,train
901,100pM,2013,train
902,100pM,2013,train
903,100pM,2013,train
904,100pM,2013,test
905,100pM,2013,train
906,100pM,2013,train
907,100pM,2013,train
908,100pM,2013,train
909,100pM,2013,train
910,100pM,2013,train
911,100pM,2013,validate
912,100pM,2013,train
913,100pM,2013,validate
914,100pM,2013,train
915,100pM,2013,train
916,100pM,2013,train
917,100pM,2013,train
918,100pM,2013,validate
919,100pM,2013,train
920,100pM,2013,train
921,100pM,2013,train
922,100pM,2013,train
923,100pM,2013,validate
924,100pM,2013,train
925,100pM,2013,train
926,100pM,2013,train
927,100pM,2013,train
928,100pM,2013,train
929,100pM,2013,train
930,100pM,2013,train
931,100pM,2013,validate
932,100pM,2013,train
933,100pM,2013,train
934,100pM,2013,train
935,100pM,2013,train
936,100pM,2013,train
937,100pM,2013,train
938,100pM,2013,train
939,100pM,2013,train
940,100pM,2013,train
941,100pM,2013,validate
942,100pM,2013,test
943,100pM,2013,train
944,100pM,2013,train
945,100pM,2013,train
946,100pM,2013,validate
947,100pM,2013,train
948,100pM,2013,test
949,100pM,2013,train
950,100pM,2013,train
951,100pM,2013,train
952,100pM,2013,train
953,100pM,2013,test
954,100pM,2013,train
955,100pM,2013,train
956,100pM,2013,train
957,100pM,2013,train
958,100pM,2013,train
959,100pM,2013,train
960,100pM,2013,train
961,100pM,2013,train
962,100pM,2013,train
963,100pM,2013,test
964,100pM,2013,train
965,100pM,2013,train
966,100pM,2013,train
967,100pM,2013,train
968,100pM,2013,train
969,100pM,2013,train
970,100pM,2013,test
971,100pM,2013,train
972,100pM,2013,train
973,100pM,2013,train
974,100pM,2013,train
975,100pM,2013,test
976,100pM,2013,train
977,100pM,2013,train
978,100pM,2013,train
979,100pM,2013,train
980,100pM,2013,train
981,100pM,2013,test
982,100pM,2013,train
983,100pM,2013,train
984,100pM,2013,validate
985,100pM,2013,train
986,100pM,2013,train
987,100pM,2013,train
988,100pM,2013,train
989,100pM,2013,train
990,100pM,2013,train
991,100pM,2013,train
992,100pM,2013,train
993,100pM,2013,train
994,100pM,2013,train
995,100pM,2013,test
996,100pM,2013,test
997,100pM,2013,train
998,100pM,2013,train
999,100pM,2013,train
1000,100pM,2013,train
1001,100pM,2013,test
1002,100pM,2013,train
1003,100pM,2013,train
1004,100pM,2013,train
1005,100pM,2013,train
1006,100pM,2013,train
1007,100pM,2013,validate
1008,100pM,2013,validate
1009,100pM,2013,train
1010,100pM,2013,validate
1011,100pM,2013,train
1012,100pM,2013,train
1013,100pM,2013,train
1014,100pM,2013,train
1015,100pM,2013,train
1016,100pM,2013,test
1017,100pM,2013,train
1018,100pM,2013,train
1019,100pM,2013,train
1020,100pM,2013,train
1021,100pM,2013,train
1022,100pM,2013,train
1023,100pM,2013,train
1024,100pM,2013,train
1025,100pM,2013,test
1026,100pM,2013,train
1027,100pM,2013,train
1028,100pM,2013,train
1029,100pM,2013,train
1030,100pM,2013,train
1031,100pM,2013,train
1032,100pM,2013,test
1033,100pM,2013,train
1034,100pM,2013,train
1035,100pM,2013,train
1036,100pM,2013,train
1037,100pM,2013,train
1038,100pM,2013,train
1039,100pM,2013,train
1040,100pM,2013,train
1041,100pM,2013,train
1042,100pM,2013,train
1043,100pM,2013,train
1044,100pM,2013,train
1045,100pM,2013,train
1046,100pM,2013,train
1047,100pM,2013,train
1048,100pM,2013,train
1049,100pM,2013,train
1050,100pM,2013,train
1051,100pM,2013,train
1052,100pM,2013,train
1053,100pM,2013,validate
1054,100pM,2013,validate
1055,100pM,2013,train
1056,100pM,2013,validate
1057,100pM,2013,train
1058,100pM,2013,train
1059,100pM,2013,train
1060,100pM,2013,test
1061,100pM,2013,train
1062,100pM,2013,train
1063,100pM,2013,train
1064,100pM,2013,train
1065,100pM,2013,train
1066,100pM,2013,train
1067,100pM,2013,train
1068,100pM,2013,train
1069,100pM,2013,train
1070,100pM,2013,train
1071,100pM,2013,train
1072,100pM,2013,train
1073,100pM,2013,train
1074,100pM,2013,test
1075,100pM,2013,train
1076,100pM,2013,train
1077,100pM,2013,train
1078,100pM,2013,train
1079,100pM,2013,test
1080,100pM,2013,train
1081,100pM,2013,train
1082,100pM,2013,train
1083,100pM,2013,train
1084,100pM,2013,train
1085,100pM,2013,train
1086,100pM,2013,train
1087,100pM,2013,train
1088,100pM,2013,train
1089,100pM,2013,train
1090,100pM,2013,train
1091,100pM,2013,train
1092,100pM,2013,train
1093,100pM,2013,train
1094,100pM,2013,train
1095,100pM,2013,train
1096,100pM,2013,train
1097,100pM,2013,train
1098,100pM,2013,test
1099,100pM,2013,train
1100,100pM,2013,validate
1101,100pM,2013,test
1102,100pM,2013,train
1103,100pM,2013,train
1104,100pM,2013,train
1105,100pM,2013,validate
1106,100pM,2013,train
1107,100pM,2013,train
1108,100pM,2013,validate
1109,100pM,2013,train
1110,100pM,2013,train
1111,100pM,2013,train
1112,100pM,2013,train
1113,100pM,2013,train
1114,100pM,2013,train
1115,100pM,2013,train
1116,100pM,2013,test
1117,100pM,2013,train
1118,100pM,2013,validate
1119,100pM,2013,train
1120,100pM,2013,train
1121,100pM,2013,train
1122,100pM,2013,train
1123,100pM,2013,train
1124,100pM,2013,train
1125,100pM,2013,train
1126,100pM,2013,test
1127,100pM,2013,train
1128,100pM,2013,train
1129,1pM,2013,train
1130,1pM,2013,train
1131,1pM,2013,validate
1132,1pM,2013,train
1133,1pM,2013,train
1134,1pM,2013,train
1135,1pM,2013,train
1136,1pM,2013,train
1137,1pM,2013,test
1138,1pM,2013,train
1139,1pM,2013,test
1140,1pM,2013,train
1141,1pM,2013,train
1142,1pM,2013,train
1143,1pM,2013,test
1144,1pM,2013,train
1145,1pM,2013,validate
1146,1pM,2013,train
1147,1pM,2013,train
1148,1pM,2013,train
1149,1pM,2013,train
1150,1pM,2013,train
1151,1pM,2013,train
1152,1pM,2013,train
1153,1pM,2013,train
1154,1pM,2013,test
1155,1pM,2013,train
1156,1pM,2013,train
1157,1pM,2013,train
1158,1pM,2013,train
1159,1pM,2013,train
1160,1pM,2013,train
1161,1pM,2013,train
1162,1pM,2013,train
1163,1pM,2013,train
1164,1pM,2013,train
1165,1pM,2013,train
1166,1pM,2013,train
1167,1pM,2013,train
1168,1pM,2013,train
1169,1pM,2013,train
1170,1pM,2013,train
1171,1pM,2013,train
1172,1pM,2013,train
1173,1pM,2013,train
1174,1pM,2013,validate
1175,1pM,2013,train
1176,1pM,2013,validate
1177,1pM,2013,train
1178,1pM,2013,train
1179,1pM,2013,train
1180,1pM,2013,test
1181,1pM,2013,train
1182,1pM,2013,train
1183,1pM,2013,train
1184,1pM,2013,train
1185,1pM,2013,train
1186,1pM,2013,validate
1187,1pM,2013,train
1188,1pM,2013,test
1189,1pM,2013,train
1190,1pM,2013,train
1191,1pM,2013,train
1192,1pM,2013,train
1193,1pM,2013,train
1194,1pM,2013,train
1195,1pM,2013,test
1196,1pM,2013,train
1197,1pM,2013,train
1198,1pM,2013,test
1199,1pM,2013,train
1200,1pM,2013,train
1201,1pM,2013,train
1202,1pM,2013,train
1203,1pM,2013,train
1204,1pM,2013,train
1205,1pM,2013,train
1206,1pM,2013,validate
1207,1pM,2013,train
1208,1pM,2013,train
1209,1pM,2013,train
1210,1pM,2013,train
1211,1pM,2013,train
1212,1pM,2013,test
1213,1pM,2013,train
1214,1pM,2013,train
1215,1pM,2013,train
1216,1pM,2013,train
1217,1pM,2013,train
1218,1pM,2013,validate
1219,1pM,2013,train
1220,1pM,2013,train
1221,1pM,2013,train
1222,1pM,2013,train
1223,1pM,2013,train
1224,1pM,2013,train
1225,1pM,2013,train
1226,1pM,2013,train
1227,1pM,2013,train
1228,1pM,2013,train
1229,1pM,2013,validate
1230,1pM,2013,train
1231,1pM,2013,train
1232,1pM,2013,train
1233,1pM,2013,train
1234,1pM,2013,train
1235,1pM,2013,train
1236,1pM,2013,train
1237,1pM,2013,train
